"time","{FMU2}.FMU2Instance.fk","{FMU}.FMUInstance.x1","{FMU}.FMUInstance.v1"
0.139,-1.20537e+065,1,1.64296e+060
0.14,-1.30274e+065,1,-1.18896e+062
0.141,5.83229e+065,1,-2.49051e+062
0.142,2.07695e+066,1,3.34428e+062
0.143,6.83065e+064,1,2.41104e+063
0.144,-1.4398e+067,1,2.47694e+063
0.145,-2.92453e+067,1,-1.19236e+064
0.146,4.23254e+067,1,-4.11569e+064
0.147,2.89224e+068,1,1.20963e+063
0.148,2.81677e+068,1,2.90433e+065
0.149,-1.4612e+069,1,5.7182e+065
0.15,-4.89066e+069,1,-8.89954e+065
0.151,4.53953e+068,1,-5.77973e+066
0.152,3.51319e+070,1,-5.31999e+066
0.153,6.70167e+070,1,2.98172e+067
0.154,-1.11953e+071,1,9.68041e+067
0.155,-6.92666e+071,1,-1.52462e+067
0.156,-6.00496e+071,1,-7.07897e+068
0.157,3.64749e+072,1,-1.30769e+069
0.158,1.14899e+073,1,2.34111e+069
0.159,-2.5682e+072,1,1.38287e+070
0.16,-8.55379e+073,1,1.12467e+070
0.161,-1.52933e+074,1,-7.43025e+070
0.162,2.93035e+074,1,-2.27161e+071
0.163,1.65571e+075,1,6.61019e+070
0.164,1.25744e+075,1,1.72174e+072
0.165,-9.07428e+075,1,2.97746e+072
0.166,-2.693e+076,1,-6.09979e+072
0.167,9.69572e+075,1,-3.30237e+073
0.168,2.07828e+077,1,-2.32949e+073
0.169,3.4739e+077,1,1.84556e+074
0.17,-7.60296e+077,1,5.31762e+074
0.171,-3.95011e+078,1,-2.29066e+074
0.172,-2.57176e+078,1,-4.17894e+075
0.173,2.25045e+079,1,-6.74652e+075
0.174,6.29611e+079,1,1.57647e+076
0.175,-3.16901e+079,1,7.87101e+076
0.176,-5.03919e+080,1,4.69413e+076
0.177,-7.85063e+080,1,-4.57025e+077
0.178,1.95787e+081,1,-1.24163e+078
0.179,9.40569e+081,1,7.17482e+077
0.18,5.0914e+081,1,1.01225e+079
0.181,-5.56485e+082,1,1.52037e+079
0.182,-1.46815e+083,1,-4.04599e+079
0.183,9.60912e+082,1,-1.87235e+080
0.184,1.2194e+084,1,-9.09563e+079
0.185,1.76392e+084,1,1.12854e+081
0.186,-5.00907e+084,1,2.89133e+081
0.187,-2.23521e+085,1,-2.12063e+081
0.188,-9.60591e+084,1,-2.44706e+082
0.189,1.37227e+086,1,-3.4052e+082
0.19,3.41402e+086,1,1.03209e+083
0.191,-2.78195e+086,1,4.44508e+083
0.192,-2.94496e+087,1,1.65869e+083
0.193,-3.93723e+087,1,-2.77926e+084
0.194,1.27423e+088,1,-6.71371e+084
0.195,5.30118e+088,1,6.03527e+084
0.196,1.67472e+088,1,5.90411e+085
0.197,-3.37516e+089,1,7.57292e+085
0.198,-7.91554e+089,1,-2.61863e+086
0.199,7.80414e+089,1,-1.05315e+087
0.2,7.09856e+090,1,-2.71688e+086
0.201,8.72159e+090,1,6.82715e+087
0.202,-3.225e+091,1,1.55419e+088
0.203,-1.25469e+092,1,-1.67236e+088
0.204,-2.50019e+091,1,-1.42176e+089
0.205,8.2808e+092,1,-1.67036e+089
0.206,1.82947e+093,1,6.61211e+089
0.207,-2.13963e+093,1,2.49002e+090
0.208,-1.70776e+094,1,3.47896e+089
0.209,-1.91479e+094,1,-1.673e+091
