"time","{FMU2}.FMU2Instance.fk","{FMU}.FMUInstance.x1","{FMU}.FMUInstance.v1"
0.588,5.398e+254,1,1.06794e+251
0.589,-1.01504e+254,1,6.46487e+251
0.59,-3.98032e+255,1,5.44336e+251
0.591,-7.24236e+255,1,-3.43653e+252
0.592,1.33841e+256,1,-1.06755e+253
0.593,7.74234e+256,1,2.7193e+252
0.594,6.10302e+256,1,8.014e+253
0.595,-4.19871e+257,1,1.4109e+254
0.596,-1.26599e+258,1,-2.78922e+254
0.597,4.08806e+257,1,-1.54464e+255
0.598,9.67621e+258,1,-1.13428e+255
0.599,1.64722e+259,1,8.54306e+255
0.6,-3.48026e+259,1,2.50068e+256
0.601,-1.84808e+260,1,-9.82085e+255
0.602,-1.25698e+260,1,-1.94619e+257
0.603,1.04214e+261,1,-3.20123e+257
0.604,2.96184e+261,1,7.22341e+257
0.605,-1.37517e+261,1,3.68346e+258
0.606,-2.34745e+262,1,2.30461e+258
0.607,-3.72787e+262,1,-2.11722e+259
0.608,8.9792e+262,1,-5.84298e+259
0.609,4.40281e+263,1,3.14206e+259
0.61,2.51317e+263,1,4.7167e+260
0.611,-2.57896e+264,1,7.22516e+260
0.612,-6.91147e+264,1,-1.85716e+261
0.613,4.23842e+264,1,-8.76678e+261
0.614,5.68349e+265,1,-4.51959e+261
0.615,8.38956e+265,1,5.23198e+262
0.616,-2.30107e+266,1,1.36163e+263
0.617,-1.04686e+267,1,-9.40803e+262
0.618,-4.81327e+266,1,-1.14084e+264
0.619,6.36421e+267,1,-1.62103e+264
0.62,1.6084e+268,1,4.7448e+264
0.621,-1.24009e+268,1,2.08241e+265
0.622,-1.37333e+269,1,8.40237e+264
0.623,-1.8761e+269,1,-1.28939e+266
0.624,5.86211e+269,1,-3.1642e+266
0.625,2.48414e+270,1,2.70108e+266
0.626,8.61011e+269,1,2.75398e+267
0.627,-1.56637e+271,1,3.61224e+267
0.628,-3.73215e+271,1,-1.20551e+268
0.629,3.50465e+271,1,-4.93646e+268
0.63,3.31199e+272,1,-1.42687e+268
0.631,4.1648e+272,1,3.16945e+269
0.632,-1.4856e+273,1,7.33108e+269
0.633,-5.88276e+273,1,-7.5323e+269
0.634,-1.3575e+273,1,-6.63524e+270
0.635,3.84553e+274,1,-7.98611e+270
0.636,8.63335e+274,1,3.04772e+271
0.637,-9.6616e+274,1,1.1678e+272
0.638,-7.97201e+275,1,2.00475e+271
0.639,-9.16688e+275,1,-7.77174e+272
0.64,3.74727e+276,1,-1.69308e+273
0.641,1.3902e+277,1,2.05588e+273
0.642,1.55286e+276,1,1.59559e+274
0.643,-9.41838e+277,1,1.74928e+274
0.644,-1.99046e+278,1,-7.67086e+274
0.645,2.61404e+278,1,-2.75678e+275
0.646,1.91521e+279,1,-1.39981e+274
0.647,1.99729e+279,1,1.90123e+276
0.648,-9.41208e+279,1,3.89661e+276
0.649,-3.27823e+280,1,-5.51937e+276
0.65,3.66638e+278,1,-3.82962e+277
0.651,2.30143e+281,1,-3.78913e+277
0.652,4.57261e+281,1,1.9229e+278
0.653,-6.96937e+281,1,6.49359e+278
0.654,-4.59239e+282,1,-4.82278e+277
0.655,-4.29843e+282,1,-4.64057e+279
0.656,2.35493e+283,1,-8.93437e+279
0.657,7.71319e+283,1,1.46239e+280
0.658,-1.06884e+283,1,9.17412e+280
0.659,-5.61125e+284,1,8.0961e+280
0.66,-1.04633e+285,1,-4.80245e+281
0.661,1.83619e+285,1,-1.5261e+282
0.662,1.09909e+286,1,3.11618e+281
0.663,9.11022e+285,1,1.13022e+283
0.664,-5.87123e+286,1,2.04012e+283
0.665,-1.8106e+287,1,-3.83315e+283
0.666,4.91097e+286,1,-2.19354e+284
0.667,1.36518e+288,1,-1.70025e+284
0.668,2.38397e+288,1,1.19533e+285
0.669,-4.79039e+288,1,3.5781e+285
0.67,-2.62542e+289,1,-1.21587e+285
0.671,-1.89327e+289,1,-2.74688e+286
0.672,1.45899e+290,1,-4.63741e+286
0.673,4.23998e+290,1,9.95716e+286
0.674,-1.73855e+290,1,5.2347e+287
0.675,-3.3145e+291,1,3.49091e+287
0.676,-5.40573e+291,1,-2.96576e+288
0.677,1.23942e+292,1,-8.36853e+288
0.678,6.2593e+292,1,4.03408e+288
0.679,3.8326e+292,1,6.66231e+289
0.68,-3.61451e+293,1,1.04882e+290
0.681,-9.90384e+293,1,-2.56673e+290
0.682,5.50646e+293,1,-1.2468e+291
0.683,8.0309e+294,1,-6.94907e+290
0.684,1.21923e+295,1,7.33669e+291
0.685,-3.184e+295,1,1.95217e+292
0.686,-1.48938e+296,1,-1.23379e+292
0.687,-7.4762e+295,1,-1.61264e+293
0.688,8.92895e+296,1,-2.35864e+293
0.689,2.30719e+297,1,6.57267e+293
0.69,-1.63872e+297,1,2.9638e+294
0.691,-1.94199e+298,1,1.32212e+294
0.692,-2.73332e+298,1,-1.80991e+295
0.693,8.12887e+298,1,-4.54141e+295
0.694,3.53692e+299,1,3.592e+295
0.695,1.37819e+299,1,3.89576e+296
0.696,-2.19978e+300,1,5.27006e+296
0.697,-5.35961e+300,1,-1.6733e+297
0.698,4.68554e+300,1,-7.03124e+297
0.699,4.68683e+301,1,-2.33866e+297
0.7,6.08534e+301,1,4.4532e+298
0.701,-2.06399e+302,1,1.05341e+299
0.702,-8.38238e+302,1,-1.01164e+299
0.703,-2.30417e+302,1,-9.39301e+299
0.704,5.40562e+303,1,-1.16878e+300
0.705,1.24129e+304,1,4.23801e+300
0.706,-1.30276e+304,1,1.66467e+301
0.707,-1.12894e+305,1,3.60242e+300
0.708,-1.34396e+305,1,-1.09296e+302
0.709,5.21512e+305,1,-2.43583e+302
0.71,1.98249e+306,1,2.78173e+302
0.711,3.11463e+305,1,2.26038e+303
0.712,-1.32511e+307,1,2.56958e+303
0.713,-2.86554e+307,1,-1.06841e+304
0.714,3.5478e+307,1,-3.93288e+304
0.715,inf,1,-3.81148e+303
0.716,inf,1,inf
0.717,-inf,1,nan
0.718,nan,1,nan
0.719,nan,1,nan
0.72,nan,1,nan
0.721,nan,1,nan
0.722,nan,1,nan
0.723,nan,1,nan
0.724,nan,1,nan
0.725,nan,1,nan
0.726,nan,1,nan
0.727,nan,1,nan
0.728,nan,1,nan
0.729,nan,1,nan
0.73,nan,1,nan
0.731,nan,1,nan
0.732,nan,1,nan
0.733,nan,1,nan
0.734,nan,1,nan
0.735,nan,1,nan
0.736,nan,1,nan
0.737,nan,1,nan
0.738,nan,1,nan
0.739,nan,1,nan
0.74,nan,1,nan
0.741,nan,1,nan
0.742,nan,1,nan
0.743,nan,1,nan
0.744,nan,1,nan
0.745,nan,1,nan
0.746,nan,1,nan
0.747,nan,1,nan
0.748,nan,1,nan
0.749,nan,1,nan
0.75,nan,1,nan
0.751,nan,1,nan
0.752,nan,1,nan
0.753,nan,1,nan
0.754,nan,1,nan
0.755,nan,1,nan
0.756,nan,1,nan
0.757,nan,1,nan
0.758,nan,1,nan
0.759,nan,1,nan
0.76,nan,1,nan
0.761,nan,1,nan
0.762,nan,1,nan
0.763,nan,1,nan
0.764,nan,1,nan
0.765,nan,1,nan
0.766,nan,1,nan
0.767,nan,1,nan
0.768,nan,1,nan
0.769,nan,1,nan
0.77,nan,1,nan
0.771,nan,1,nan
0.772,nan,1,nan
0.773,nan,1,nan
0.774,nan,1,nan
0.775,nan,1,nan
0.776,nan,1,nan
0.777,nan,1,nan
0.778,nan,1,nan
0.779,nan,1,nan
0.78,nan,1,nan
0.781,nan,1,nan
0.782,nan,1,nan
0.783,nan,1,nan
0.784,nan,1,nan
0.785,nan,1,nan
0.786,nan,1,nan
0.787,nan,1,nan
0.788,nan,1,nan
0.789,nan,1,nan
0.79,nan,1,nan
0.791,nan,1,nan
0.792,nan,1,nan
0.793,nan,1,nan
0.794,nan,1,nan
0.795,nan,1,nan
0.796,nan,1,nan
0.797,nan,1,nan
0.798,nan,1,nan
0.799,nan,1,nan
0.8,nan,1,nan
0.801,nan,1,nan
0.802,nan,1,nan
0.803,nan,1,nan
0.804,nan,1,nan
0.805,nan,1,nan
0.806,nan,1,nan
0.807,nan,1,nan
0.808,nan,1,nan
0.809,nan,1,nan
0.81,nan,1,nan
0.811,nan,1,nan
0.812,nan,1,nan
0.813,nan,1,nan
0.814,nan,1,nan
0.815,nan,1,nan
0.816,nan,1,nan
0.817,nan,1,nan
0.818,nan,1,nan
0.819,nan,1,nan
0.82,nan,1,nan
0.821,nan,1,nan
0.822,nan,1,nan
0.823,nan,1,nan
0.824,nan,1,nan
0.825,nan,1,nan
0.826,nan,1,nan
0.827,nan,1,nan
0.828,nan,1,nan
0.829,nan,1,nan
0.83,nan,1,nan
0.831,nan,1,nan
0.832,nan,1,nan
0.833,nan,1,nan
0.834,nan,1,nan
0.835,nan,1,nan
0.836,nan,1,nan
0.837,nan,1,nan
0.838,nan,1,nan
0.839,nan,1,nan
0.84,nan,1,nan
0.841,nan,1,nan
0.842,nan,1,nan
0.843,nan,1,nan
0.844,nan,1,nan
0.845,nan,1,nan
0.846,nan,1,nan
0.847,nan,1,nan
0.848,nan,1,nan
0.849,nan,1,nan
0.85,nan,1,nan
0.851,nan,1,nan
0.852,nan,1,nan
0.853,nan,1,nan
0.854,nan,1,nan
0.855,nan,1,nan
0.856,nan,1,nan
0.857,nan,1,nan
0.858,nan,1,nan
0.859,nan,1,nan
0.86,nan,1,nan
0.861,nan,1,nan
0.862,nan,1,nan
0.863,nan,1,nan
0.864,nan,1,nan
0.865,nan,1,nan
0.866,nan,1,nan
0.867,nan,1,nan
0.868,nan,1,nan
0.869,nan,1,nan
0.87,nan,1,nan
0.871,nan,1,nan
0.872,nan,1,nan
0.873,nan,1,nan
0.874,nan,1,nan
0.875,nan,1,nan
0.876,nan,1,nan
0.877,nan,1,nan
0.878,nan,1,nan
0.879,nan,1,nan
0.88,nan,1,nan
0.881,nan,1,nan
0.882,nan,1,nan
0.883,nan,1,nan
0.884,nan,1,nan
0.885,nan,1,nan
0.886,nan,1,nan
0.887,nan,1,nan
0.888,nan,1,nan
0.889,nan,1,nan
0.89,nan,1,nan
0.891,nan,1,nan
0.892,nan,1,nan
0.893,nan,1,nan
0.894,nan,1,nan
0.895,nan,1,nan
0.896,nan,1,nan
0.897,nan,1,nan
0.898,nan,1,nan
0.899,nan,1,nan
0.9,nan,1,nan
0.901,nan,1,nan
0.902,nan,1,nan
0.903,nan,1,nan
0.904,nan,1,nan
0.905,nan,1,nan
0.906,nan,1,nan
0.907,nan,1,nan
0.908,nan,1,nan
0.909,nan,1,nan
0.91,nan,1,nan
0.911,nan,1,nan
0.912,nan,1,nan
0.913,nan,1,nan
0.914,nan,1,nan
0.915,nan,1,nan
0.916,nan,1,nan
0.917,nan,1,nan
0.918,nan,1,nan
0.919,nan,1,nan
0.92,nan,1,nan
0.921,nan,1,nan
0.922,nan,1,nan
0.923,nan,1,nan
0.924,nan,1,nan
0.925,nan,1,nan
0.926,nan,1,nan
0.927,nan,1,nan
0.928,nan,1,nan
0.929,nan,1,nan
0.93,nan,1,nan
0.931,nan,1,nan
0.932,nan,1,nan
0.933,nan,1,nan
0.934,nan,1,nan
0.935,nan,1,nan
0.936,nan,1,nan
0.937,nan,1,nan
0.938,nan,1,nan
0.939,nan,1,nan
0.94,nan,1,nan
0.941,nan,1,nan
0.942,nan,1,nan
0.943,nan,1,nan
0.944,nan,1,nan
0.945,nan,1,nan
0.946,nan,1,nan
0.947,nan,1,nan
0.948,nan,1,nan
0.949,nan,1,nan
0.95,nan,1,nan
0.951,nan,1,nan
0.952,nan,1,nan
0.953,nan,1,nan
0.954,nan,1,nan
0.955,nan,1,nan
0.956,nan,1,nan
0.957,nan,1,nan
0.958,nan,1,nan
0.959,nan,1,nan
0.96,nan,1,nan
0.961,nan,1,nan
0.962,nan,1,nan
0.963,nan,1,nan
0.964,nan,1,nan
0.965,nan,1,nan
0.966,nan,1,nan
0.967,nan,1,nan
0.968,nan,1,nan
0.969,nan,1,nan
0.97,nan,1,nan
0.971,nan,1,nan
0.972,nan,1,nan
0.973,nan,1,nan
0.974,nan,1,nan
0.975,nan,1,nan
0.976,nan,1,nan
0.977,nan,1,nan
0.978,nan,1,nan
0.979,nan,1,nan
0.98,nan,1,nan
0.981,nan,1,nan
0.982,nan,1,nan
0.983,nan,1,nan
0.984,nan,1,nan
0.985,nan,1,nan
0.986,nan,1,nan
0.987,nan,1,nan
0.988,nan,1,nan
0.989,nan,1,nan
0.99,nan,1,nan
0.991,nan,1,nan
0.992,nan,1,nan
0.993,nan,1,nan
0.994,nan,1,nan
0.995,nan,1,nan
0.996,nan,1,nan
0.997,nan,1,nan
0.998,nan,1,nan
0.999,nan,1,nan
